year,1960,1970,1980,1990,2000,2010,Sum
1967,12.0,0.0,0.0,0.0,0.0,0.0,12.0
1968,57.9,0.0,0.0,0.0,0.0,0.0,57.9
1969,1056.7,0.0,0.0,0.0,0.0,0.0,1056.7
1970,1056.7,498.8,0.0,0.0,0.0,0.0,1555.5
1971,1056.7,1229.7,0.0,0.0,0.0,0.0,2286.4
1972,1056.7,1624.1,0.0,0.0,0.0,0.0,2680.8
1973,1056.7,1681.9,0.0,0.0,0.0,0.0,2738.7
1974,1056.7,3312.3,0.0,0.0,0.0,0.0,4369.0
1975,1056.7,3536.2,0.0,0.0,0.0,0.0,4593.0
1976,1056.7,3586.6,0.0,0.0,0.0,0.0,4643.3
1977,1047.6,3592.8,0.0,0.0,0.0,0.0,4640.4
1978,1015.7,4473.2,0.0,0.0,0.0,0.0,5488.9
1979,976.5,14206.8,0.0,0.0,0.0,0.0,15183.3
1980,930.6,14094.9,74.9,0.0,0.0,0.0,15100.3
1981,885.4,13983.1,1961.9,0.0,0.0,0.0,16830.4
1982,840.7,13877.1,2214.1,0.0,0.0,0.0,16931.9
1983,798.9,13770.4,2497.1,0.0,0.0,0.0,17066.4
1984,754.1,13651.9,4055.2,0.0,0.0,0.0,18461.1
1985,714.6,13526.6,4518.7,0.0,0.0,0.0,18760.0
1986,695.4,13381.8,4993.6,0.0,0.0,0.0,19070.8
1987,669.2,13230.9,5240.2,0.0,0.0,0.0,19140.3
1988,643.3,13078.6,5277.3,0.0,0.0,0.0,18999.2
1989,609.9,12931.2,5501.9,0.0,0.0,0.0,19043.0
1990,575.9,12806.0,5500.8,199.4,0.0,0.0,19082.1
1991,544.4,12683.0,5498.0,218.3,0.0,0.0,18943.6
1992,506.4,12561.6,5494.8,326.5,0.0,0.0,18889.3
1993,476.1,12446.6,5484.2,332.7,0.0,0.0,18739.6
1994,445.2,12342.5,5450.3,942.9,0.0,0.0,19180.9
1995,411.6,12246.1,5405.3,1059.2,0.0,0.0,19122.3
1996,377.7,12108.1,5342.0,1059.2,0.0,0.0,18887.1
1997,345.6,11931.5,5280.6,3397.9,0.0,0.0,20955.6
1998,322.3,11736.5,5221.0,3726.2,0.0,0.0,21005.9
1999,304.8,11513.8,5156.3,3726.1,0.0,0.0,20701.1
2000,285.8,11312.6,5065.2,3724.2,2.5,0.0,20390.4
2001,267.7,11113.2,4951.0,3716.0,48.4,0.0,20096.4
2002,250.5,10884.4,4790.2,3710.4,48.4,0.0,19683.8
2003,233.4,10663.0,4596.4,3683.6,50.3,0.0,19226.8
2004,215.9,10422.3,4396.3,3643.9,56.0,0.0,18734.4
2005,198.4,10167.3,4191.6,3581.6,55.5,0.0,18194.4
2006,180.5,9900.1,3999.6,3501.7,54.8,0.0,17636.7
2007,164.9,9614.0,3796.6,3438.7,79.6,0.0,17093.8
2008,150.4,9347.8,3585.7,3301.0,157.7,0.0,16542.7
2009,137.8,9137.6,3368.5,3091.1,156.1,0.0,15891.1
2010,127.2,8899.4,3159.7,2883.7,146.3,76.7,15293.1
2011,118.7,8708.6,2943.2,2668.3,140.6,76.7,14656.2
2012,111.5,8436.4,2730.4,2447.3,132.5,76.4,13934.6
2013,105.9,8196.6,2534.7,2221.2,116.2,76.0,13250.5
2014,99.3,7960.4,2338.6,1991.9,101.3,74.5,12566.0
2015,92.5,7675.7,2117.1,1781.5,89.8,72.5,11829.2
2016,86.9,7412.5,1921.6,1592.9,79.6,69.4,11162.9
