Date,1960,1970,1980,1990,2000,2010,Sum
1972,1.92703,0,0,0,0,0,1.92703
1973,1.86953,0,0,0,0,0,1.86953
1974,2.01417,0,0,0,0,0,2.01417
1975,10.9954,0,0,0,0,0,10.9954
1976,16.2268,0,0,0,0,0,16.2268
1977,15.8898,0.75269,0,0,0,0,16.6425
1978,15.5899,5.05455,0,0,0,0,20.6445
1979,13.2637,9.21419,0,0,0,0,22.4779
1980,11.4637,16.7576,0,0,0,0,28.2213
1981,9.32868,18.1559,0,0,0,0,27.4846
1982,8.44974,20.0786,0,0,0,0,28.5284
1983,8.39262,27.253,0,0,0,0,35.6456
1984,7.61027,33.4828,0,0,0,0,41.0931
1985,6.38713,38.3708,0,0,0,0,44.7579
1986,4.82269,43.9485,0,0,0,0,48.7712
1987,4.07815,52.8811,0,0,0,0,56.9592
1988,5.4631,59.26,0,0,0,0,64.7231
1989,6.70884,79.2745,0,0,0,0,85.9833
1990,7.5525,82.5945,4.39536,0,0,0,94.5423
1991,8.78067,92.9477,6.78173,0,0,0,108.51
1992,9.04503,107.291,7.66296,0,0,0,123.999
1993,8.81232,113.471,9.56022,0,0,0,131.844
1994,10.1474,115.674,20.4613,0,0,0,146.282
1995,12.8743,115.425,28.4766,0,0,0,156.776
1996,13.4875,119.234,42.7004,0.0792,0,0,175.502
1997,14.3045,115.239,45.9547,0.41527,0,0,175.914
1998,14.5521,100.872,47.0039,6.3157,0,0,168.744
1999,15.1552,89.575,54.7914,9.16816,0,0,168.69
2000,20.6866,83.8802,58.3858,18.2284,0,0,181.181
2001,20.4526,79.9708,60.3887,20.0726,0,0,180.885
2002,20.669,78.5551,57.5254,16.8997,0,0,173.649
2003,21.1221,77.3638,50.1419,16.8475,0,0,165.475
2004,22.5671,71.9715,46.3779,21.8614,0,0,162.778
2005,22.8027,61.3156,40.7425,22.7851,0.49119,0,148.137
2006,22.1425,50.1567,35.6152,25.4287,3.23467,0,136.578
2007,18.8068,45.6819,35.1245,25.6452,3.01779,0,128.276
2008,16.5982,42.0532,31.9837,28.4062,3.62054,0,122.662
2009,14.5603,36.0763,29.2923,30.8035,4.19528,0,114.928
2010,12.1139,32.826,27.8388,27.2525,4.33567,0,104.367
2011,10.6817,29.1043,28.2979,24.4768,4.9338,0,97.4945
2012,9.43228,25.898,26.9359,21.8984,4.98132,0.03841,89.1844
2013,8.31828,26.7274,23.7154,20.6963,5.40541,0.07203,84.9348
2014,9.27466,28.7423,23.9782,20.143,5.56716,0.03492,87.7403
2015,9.03265,31.5714,23.2661,19.6529,7.41532,0.02699,90.9654
2016,8.79624,31.9931,21.9274,17.4114,13.8584,0.02241,94.009
2017,8.70441,31.7494,21.3021,17.4945,15.181,0.02511,94.4566
