prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdCondensateNetMillSm3,prfPrdNGLNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3
2016,85.719,105.924,18.389,1.762,211.793,160.853
2015,90.965,117.152,19.601,2.468,230.187,184.518
2014,87.741,108.820,18.949,2.913,218.423,172.475
2013,84.939,108.746,17.718,3.991,215.394,156.410
2012,89.197,114.723,17.799,4.575,226.294,158.035
2011,97.513,101.266,16.314,4.583,219.677,155.474
2010,104.388,107.264,15.519,4.163,231.335,158.834
2009,114.937,104.404,16.975,4.440,240.757,159.824
2008,122.662,100.110,16.942,3.924,243.638,174.563
2007,128.276,90.310,16.629,3.126,238.341,180.510
2006,136.577,88.668,16.696,7.625,249.566,172.748
2005,148.137,85.843,15.806,7.952,257.737,174.879
2004,162.778,79.179,13.602,8.675,264.233,168.721
2003,165.475,72.960,12.931,10.339,261.705,152.011
2002,173.649,65.594,11.798,7.323,258.364,133.675
2001,180.884,54.036,10.924,5.666,251.510,127.960
2000,181.181,49.796,7.225,5.411,243.613,112.162
1999,168.690,48.471,6.992,5.512,229.665,1.237
1998,168.744,44.195,7.390,5.047,225.375,0.183
1997,175.914,42.945,8.074,5.376,232.308,0.001
1996,175.501,37.398,8.232,3.784,224.915,0.003
1995,156.776,27.814,7.942,3.178,195.709,0.000
1994,146.282,26.842,7.122,2.403,182.649,0.065
1993,131.843,24.804,5.518,0.474,162.639,0.000
1992,123.999,25.834,4.959,0.054,154.846,0.000
1991,108.510,25.027,4.897,0.057,138.492,0.000
1990,94.542,25.479,5.011,0.048,125.081,0.000
1989,85.983,28.738,4.898,0.053,119.672,0.000
1988,64.723,28.330,4.846,0.047,97.945,0.000
1987,56.959,28.151,4.117,0.055,89.281,0.000
1986,48.771,26.090,3.845,0.061,78.767,0.000
1985,44.758,26.186,2.968,0.076,73.987,0.000
1984,41.093,25.963,2.642,0.064,69.762,0.000
1983,35.645,23.613,2.680,0.041,61.979,0.000
1982,28.528,23.960,2.286,0.043,54.817,0.000
1981,27.485,24.951,2.168,0.048,54.652,0.000
1980,28.221,25.088,2.440,0.048,55.798,0.000
1979,22.478,20.670,1.128,0.044,44.319,0.000
1978,20.644,14.201,0.000,0.021,34.866,0.000
1977,16.643,2.655,0.000,0.002,19.300,0.000
1976,16.227,0.000,0.000,0.000,16.227,0.000
1975,10.995,0.000,0.000,0.000,10.995,0.000
1974,2.014,0.000,0.000,0.000,2.014,0.000
1973,1.870,0.000,0.000,0.000,1.870,0.000
1972,1.927,0.000,0.000,0.000,1.927,0.000
1971,0.357,0.000,0.000,0.000,0.357,0.000
