fldName,fldDiscoveryYear,fldCurrentActivityStatus,fldRemainingOE,cumulativeMboe,cumulativePercentage
TROLL,1979,Producing,5739.3,5739.3,30.7
JOHAN SVERDRUP,2010,Approved for production,1875.2,7614.5,40.7
SNØHVIT,1984,Producing,1339.7,8954.2,47.9
ORMEN LANGE,1997,Producing,822.7,9776.9,52.3
OSEBERG,1979,Producing,642.8,10419.7,55.7
EKOFISK,1969,Producing,617.9,11037.6,59.0
ÅSGARD,1981,Producing,502.9,11540.5,61.7
SNORRE,1979,Producing,435.8,11976.3,64.1
HEIDRUN,1985,Producing,417.0,12393.3,66.3
VISUND,1986,Producing,400.0,12793.3,68.4
GULLFAKS SØR,1978,Producing,387.3,13180.6,70.5
TYRIHANS,1983,Producing,359.3,13539.9,72.4
KVITEBJØRN,1994,Producing,303.2,13843.1,74.0
AASTA HANSTEEN,1997,Approved for production,291.9,14135.0,75.6
SKARV,1998,Producing,278.5,14413.5,77.1
MARTIN LINGE,1978,Approved for production,255.9,14669.4,78.5
VALHALL,1975,Producing,237.4,14906.8,79.7
GRANE,1991,Producing,235.9,15142.7,81.0
GINA KROG,1978,Approved for production,218.1,15360.8,82.2
MARIA,2010,Approved for production,195.7,15556.5,83.2
IVAR AASEN,2008,Producing,184.4,15740.9,84.2
GOLIAT,2000,Producing,176.1,15917.0,85.1
ELDFISK,1970,Producing,172.5,16089.5,86.1
EDVARD GRIEG,2007,Producing,169.5,16259.0,87.0
NJORD,1986,Producing,164.1,16423.1,87.9
GJØA,1989,Producing,159.0,16582.1,88.7
OSEBERG SØR,1984,Producing,158.4,16740.5,89.5
STATFJORD,1974,Producing,147.9,16888.4,90.3
VEGA,1981,Producing,143.9,17032.3,91.1
MIKKEL,1987,Producing,143.6,17175.9,91.9
ALVHEIM,1998,Producing,127.7,17303.6,92.6
GULLFAKS,1978,Producing,101.3,17404.9,93.1
VALEMON,1985,Producing,92.1,17497.0,93.6
SLEIPNER VEST,1974,Producing,85.2,17582.2,94.1
FRAM,1990,Producing,78.3,17660.5,94.5
ULA,1976,Producing,69.5,17730.0,94.8
GUDRUN,1975,Producing,67.6,17797.6,95.2
VIGDIS,1986,Producing,62.8,17860.4,95.5
BALDER,1967,Producing,62.3,17922.7,95.9
KRISTIN,1997,Producing,61.8,17984.5,96.2
TORDIS,1987,Producing,51.4,18035.9,96.5
OSEBERG ØST,1981,Producing,44.0,18079.9,96.7
DRAUGEN,1984,Producing,40.1,18120.0,96.9
KNARR,2008,Producing,39.5,18159.5,97.1
NORNE,1992,Producing,36.2,18195.7,97.3
BRAGE,1980,Producing,31.4,18227.1,97.5
SVALIN,1992,Producing,31.4,18258.5,97.7
VISUND SØR,2008,Producing,29.9,18288.4,97.8
VOLUND,1994,Producing,28.9,18317.3,98.0
UTGARD,1982,Approved for production,27.9,18345.2,98.1
STATFJORD NORD,1977,Producing,26.2,18371.4,98.3
MORVIN,2001,Producing,25.5,18396.9,98.4
VESLEFRIKK,1981,Producing,24.3,18421.2,98.5
EMBLA,1988,Producing,23.8,18445.0,98.7
ALVE,1990,Producing,18.7,18463.7,98.8
MARULK,1992,Producing,18.7,18482.4,98.9
HANZ,1997,Approved for production,18.2,18500.6,99.0
RINGHORNE ØST,2003,Producing,18.2,18518.8,99.1
SIGYN,1982,Producing,17.9,18536.7,99.2
SKULD,2008,Producing,16.4,18553.1,99.2
VILJE,2003,Producing,15.7,18568.8,99.3
HYME,2009,Producing,14.3,18583.1,99.4
STATFJORD ØST,1976,Producing,13.4,18596.5,99.5
BØYLA,2009,Producing,13.2,18609.7,99.5
URD,2000,Producing,11.3,18621.0,99.6
VALE,1991,Producing,10.1,18631.1,99.7
BYRDING,2005,Approved for production,8.8,18639.9,99.7
TAMBAR,1983,Producing,7.4,18647.3,99.7
SYGNA,1996,Producing,6.3,18653.6,99.8
GUNGNE,1982,Producing,5.6,18659.2,99.8
HOD,1974,Producing,5.5,18664.7,99.8
SKIRNE,1990,Producing,5.0,18669.7,99.9
HEIMDAL,1972,Producing,4.4,18674.1,99.9
TRYM,1990,Producing,3.8,18677.9,99.9
SLEIPNER ØST,1981,Producing,2.5,18680.4,99.9
OSELVAR,1991,Producing,2.5,18682.9,99.9
GIMLE,2004,Producing,2.5,18685.4,100.0
FLYNDRE,1974,Approved for production,1.3,18686.7,100.0
GYDA,1980,Producing,1.3,18688.0,100.0
GAUPE,1985,Producing,1.3,18689.3,100.0
FRAM H-NORD,2007,Producing,1.3,18690.6,100.0
ATLA,2010,Producing,1.3,18691.9,100.0
ENOCH,1985,Producing,0.6,18692.5,100.0
BLANE,1989,Producing,0.6,18693.1,100.0
BRYNHILD,1992,Producing,0.6,18693.7,100.0
REV,2001,Producing,0.6,18694.3,100.0
